date,total,filter,remove,ratio
2021-12-26,23,19,0,0.83
2021-12-28,16,9,0,0.56
2021-12-30,15,13,6,0.87
2022-01-02,18,9,0,0.5
2022-01-08,23,16,0,0.7
2022-01-10,19,13,0,0.68
2022-01-12,19,13,2,0.68
2022-01-14,19,12,0,0.63
2022-01-16,19,10,0,0.53
2022-01-18,29,18,0,0.62
2022-01-20,22,17,0,0.77
2022-01-22,21,16,0,0.76
2022-01-24,24,19,0,0.79
2022-01-26,24,17,0,0.71
2022-01-28,19,17,0,0.89
2022-01-30,19,12,0,0.63
2022-02-02,24,21,0,0.88
2022-02-04,27,24,0,0.89
2022-02-06,26,17,0,0.65
2022-02-08,21,17,0,0.81
2022-02-10,35,27,0,0.77
2022-02-12,29,20,0,0.69
2022-02-14,18,15,0,0.83
2022-02-16,27,16,0,0.59
2022-02-18,25,20,0,0.8
2022-02-20,29,21,0,0.72
2022-02-22,20,14,0,0.7
2022-02-26,17,11,0,0.65
2022-02-28,31,17,0,0.55
2022-03-02,23,18,0,0.78
2022-03-04,17,12,0,0.71
2022-03-06,18,12,0,0.67
2022-03-08,22,14,0,0.64
2022-03-10,31,23,0,0.74
2022-03-12,26,18,1,0.69
2022-03-14,35,31,0,0.89
2022-03-16,20,11,0,0.55
2022-03-18,24,16,0,0.67
2022-03-20,25,14,0,0.56
2022-03-22,18,17,0,0.94
2022-03-24,18,17,0,0.94
2022-03-26,22,17,0,0.77
2022-03-28,23,16,0,0.7
2022-03-30,20,17,0,0.85
2022-04-02,23,12,0,0.52
2022-04-04,48,43,0,0.9
2022-04-06,33,19,0,0.58
2022-04-08,44,25,1,0.57
2022-04-10,37,21,0,0.57
2022-04-12,40,27,0,0.68
2022-04-14,32,25,0,0.78
2022-04-16,29,24,0,0.83
2022-04-18,47,26,3,0.55
2022-04-20,31,25,0,0.81
2022-04-22,54,42,0,0.78
2022-04-24,37,32,0,0.86
2022-04-26,62,53,0,0.85
2022-04-28,39,31,0,0.79
2022-04-30,36,18,0,0.5
2022-05-02,34,26,0,0.76
2022-05-04,48,29,1,0.6
2022-05-06,33,16,5,0.48
2022-05-08,40,30,0,0.75
2022-05-10,31,22,0,0.71
2022-05-12,42,32,4,0.76
2022-05-14,33,29,0,0.88
2022-05-16,30,22,0,0.73
2022-05-18,58,41,0,0.71
2022-05-20,33,27,0,0.82
2022-05-22,40,37,0,0.92
2022-05-24,31,17,0,0.55
2022-05-26,37,29,0,0.78
2022-06-02,39,21,0,0.54
2022-06-04,35,29,0,0.83
2022-06-06,39,34,0,0.87
2022-06-08,36,28,0,0.78
2022-06-10,47,33,0,0.7
2022-06-12,46,36,0,0.78
2022-06-14,47,26,0,0.55
2022-06-16,42,37,0,0.88
2022-06-18,34,23,0,0.68
2022-06-20,28,17,0,0.61
2022-06-22,50,30,0,0.6
2022-06-24,40,35,3,0.88
2022-06-26,41,30,0,0.73
2022-06-28,48,37,0,0.77
2022-06-30,34,23,0,0.68
2022-07-02,36,24,0,0.67
2022-07-04,34,20,0,0.59
2022-07-06,39,20,2,0.51
2022-07-08,40,34,0,0.85
2022-07-10,36,24,0,0.67
2022-07-12,33,27,0,0.82
2022-07-14,27,18,3,0.67
2022-07-16,36,33,0,0.92
2022-07-18,36,24,0,0.67
2022-07-20,42,31,0,0.74
2022-07-22,52,30,0,0.58
2022-07-24,59,36,0,0.61
2022-07-26,39,26,2,0.67
2022-07-28,31,23,0,0.74
2022-07-30,45,27,0,0.6
2022-08-02,37,31,6,0.84
2022-08-04,48,34,0,0.71
2022-08-06,37,31,0,0.84
2022-08-08,44,34,4,0.77
2022-08-10,28,17,3,0.61
2022-08-12,36,27,0,0.75
2022-08-14,38,27,0,0.71
2022-08-16,34,28,0,0.82
2022-08-18,59,39,0,0.66
2022-08-20,40,29,0,0.72
2022-08-22,36,23,0,0.64
2022-08-24,47,33,0,0.7
2022-08-26,46,41,0,0.89
2022-08-28,46,42,0,0.91
2022-08-30,45,35,0,0.78
2022-09-02,55,39,2,0.71
2022-09-04,38,37,0,0.97
2022-09-06,38,21,0,0.55
2022-09-08,40,32,0,0.8
2022-09-10,49,23,0,0.47
2022-09-12,31,17,0,0.55
2022-09-14,34,19,0,0.56
2022-09-16,35,29,0,0.83
2022-09-18,45,39,0,0.87
2022-09-20,41,40,0,0.98
2022-09-22,38,30,0,0.79
2022-09-24,35,29,0,0.83
2022-09-26,38,25,0,0.66
2022-09-28,33,17,0,0.52
2022-09-30,45,27,0,0.6
2022-10-02,45,23,0,0.51
2022-10-04,41,23,0,0.56
2022-10-06,50,32,0,0.64
2022-10-08,36,27,0,0.75
2022-10-10,33,31,0,0.94
