date,total,filter,remove,ratio
2021-12-26,23,13,0,0.57
2021-12-28,16,11,0,0.69
2021-12-30,21,17,0,0.81
2022-01-02,18,10,0,0.56
2022-01-08,23,18,0,0.78
2022-01-10,19,11,0,0.58
2022-01-12,21,12,0,0.57
2022-01-14,19,12,0,0.63
2022-01-16,19,10,0,0.53
2022-01-18,29,20,0,0.69
2022-01-20,22,13,0,0.59
2022-01-22,21,14,0,0.67
2022-01-24,24,13,0,0.54
2022-01-26,24,12,0,0.5
2022-01-28,19,13,0,0.68
2022-01-30,19,11,0,0.58
2022-02-02,23,16,1,0.7
2022-02-04,26,16,1,0.62
2022-02-06,26,21,0,0.81
2022-02-08,21,17,0,0.81
2022-02-10,35,25,0,0.71
2022-02-12,29,16,0,0.55
2022-02-14,18,9,0,0.5
2022-02-16,27,16,0,0.59
2022-02-18,25,15,0,0.6
2022-02-20,29,18,0,0.62
2022-02-22,20,14,0,0.7
2022-02-26,17,10,0,0.59
2022-02-28,31,13,0,0.42
2022-03-02,23,15,0,0.65
2022-03-04,17,10,0,0.59
2022-03-06,17,12,1,0.71
2022-03-08,22,11,0,0.5
2022-03-10,31,13,0,0.42
2022-03-12,27,12,0,0.44
2022-03-14,35,20,0,0.57
2022-03-16,20,14,0,0.7
2022-03-18,24,18,0,0.75
2022-03-20,25,18,0,0.72
2022-03-22,18,15,0,0.83
2022-03-24,18,14,0,0.78
2022-03-26,22,11,0,0.5
2022-03-28,19,14,4,0.74
2022-03-30,20,16,0,0.8
2022-04-02,23,12,0,0.52
2022-04-04,47,28,1,0.6
2022-04-06,33,28,0,0.85
2022-04-08,45,22,0,0.49
2022-04-10,37,11,0,0.3
2022-04-12,40,27,0,0.68
2022-04-14,31,15,1,0.48
2022-04-16,29,25,0,0.86
2022-04-18,50,29,0,0.58
2022-04-20,31,21,0,0.68
2022-04-22,49,24,5,0.49
2022-04-24,37,29,0,0.78
2022-04-26,62,44,0,0.71
2022-04-28,39,32,0,0.82
2022-04-30,33,26,3,0.79
2022-05-02,34,29,0,0.85
2022-05-04,49,34,0,0.69
2022-05-06,38,32,0,0.84
2022-05-08,40,22,0,0.55
2022-05-10,31,18,0,0.58
2022-05-12,46,32,0,0.7
2022-05-14,33,14,0,0.42
2022-05-16,29,21,1,0.72
2022-05-18,57,42,1,0.74
2022-05-20,33,28,0,0.85
2022-05-22,40,24,0,0.6
2022-05-24,27,23,4,0.85
2022-05-26,37,22,0,0.59
2022-06-02,39,23,0,0.59
2022-06-04,35,24,0,0.69
2022-06-06,39,24,0,0.62
2022-06-08,36,28,0,0.78
2022-06-10,47,32,0,0.68
2022-06-12,46,37,0,0.8
2022-06-14,47,30,0,0.64
2022-06-16,42,29,0,0.69
2022-06-18,34,25,0,0.74
2022-06-20,28,14,0,0.5
2022-06-22,50,25,0,0.5
2022-06-24,43,20,0,0.47
2022-06-26,41,17,0,0.41
2022-06-28,48,21,0,0.44
2022-06-30,34,17,0,0.5
2022-07-02,36,29,0,0.81
2022-07-04,34,30,0,0.88
2022-07-06,41,33,0,0.8
2022-07-08,40,33,0,0.82
2022-07-10,36,18,0,0.5
2022-07-12,33,27,0,0.82
2022-07-14,25,16,5,0.64
2022-07-16,36,26,0,0.72
2022-07-18,36,16,0,0.44
2022-07-20,42,34,0,0.81
2022-07-22,52,27,0,0.52
2022-07-24,59,41,0,0.69
2022-07-26,41,33,0,0.8
2022-07-28,31,22,0,0.71
2022-07-30,45,34,0,0.76
2022-08-02,37,23,6,0.62
2022-08-04,48,32,0,0.67
2022-08-06,37,32,0,0.86
2022-08-08,48,25,0,0.52
2022-08-10,31,21,0,0.68
2022-08-12,36,18,0,0.5
2022-08-14,35,31,3,0.89
2022-08-16,34,17,0,0.5
2022-08-18,57,26,2,0.46
2022-08-20,38,27,2,0.71
2022-08-22,36,24,0,0.67
2022-08-24,47,39,0,0.83
2022-08-26,46,28,0,0.61
2022-08-28,46,27,0,0.59
2022-08-30,45,19,0,0.42
2022-09-02,57,39,0,0.68
2022-09-04,38,28,0,0.74
2022-09-06,38,27,0,0.71
2022-09-08,40,28,0,0.7
2022-09-10,49,28,0,0.57
2022-09-12,31,22,0,0.71
2022-09-14,33,25,1,0.76
2022-09-16,35,27,0,0.77
2022-09-18,40,25,5,0.62
2022-09-20,41,25,0,0.61
2022-09-22,38,23,0,0.61
2022-09-24,35,19,0,0.54
2022-09-26,38,22,0,0.58
2022-09-28,33,17,0,0.52
2022-09-30,45,25,0,0.56
2022-10-02,45,26,0,0.58
2022-10-04,41,22,0,0.54
2022-10-06,50,26,0,0.52
2022-10-08,36,23,0,0.64
2022-10-10,33,21,0,0.64
