date,asn,target_ip,prefix,target_asn,filter
2022-01-18          ,3356,103.204.72.85       ,103.204.72.0/22     ,4837,1
2022-01-02          ,3356,103.203.65.94       ,103.203.65.0/24     ,132770,1
2022-01-02          ,3356,103.196.20.65       ,103.196.20.0/24     ,137951,1
2022-01-02          ,3356,103.166.159.20      ,103.166.159.0/24    ,9009,1
2022-01-02          ,3356,103.228.142.109     ,103.228.142.0/24    ,135818,1
2022-01-02          ,3356,103.155.130.53      ,103.155.130.0/24    ,9,1
2022-01-02          ,3356,103.21.244.8        ,103.21.244.0/24     ,13335,1
2022-01-02          ,3356,1.6.230.5           ,1.6.230.0/24        ,4755,1
2022-01-02          ,3356,103.116.120.1       ,103.116.120.0/22    ,4847,1
2022-01-02          ,3356,103.158.94.7        ,103.158.94.0/24     ,141257,1
2022-01-02          ,3356,103.119.113.35      ,103.119.113.0/24    ,137641,1
2022-01-02          ,3356,103.122.61.1        ,103.122.61.0/24     ,133678,1
2022-01-02          ,3356,103.148.217.2       ,103.148.217.0/24    ,140226,1
2022-01-02          ,3356,103.118.160.85      ,103.118.160.0/24    ,137646,1
2022-01-08          ,3356,103.239.56.140      ,103.239.56.0/22     ,134330,1
2022-01-08          ,3356,108.179.58.176      ,108.179.58.0/24     ,40513,1
2022-01-08          ,3356,108.179.24.106      ,108.179.24.0/24     ,27371,1
2022-01-08          ,3356,106.75.112.12       ,106.75.112.0/20     ,9808,1
2022-01-08          ,3356,103.87.66.140       ,103.87.66.0/24      ,136086,1
2022-01-08          ,3356,103.78.248.3        ,103.78.248.0/24     ,54501,1
2022-01-08          ,3356,103.75.156.90       ,103.75.156.0/23     ,2,1
2022-01-08          ,3356,103.54.19.34        ,103.54.19.0/24      ,134000,1
2022-01-08          ,3356,103.50.168.33       ,103.50.168.0/24     ,3,1
2022-01-08          ,3356,103.46.235.11       ,103.46.232.0/22     ,133298,1
2022-01-08          ,3356,103.228.142.109     ,103.228.142.0/24    ,135818,1
2022-01-08          ,3356,103.204.72.85       ,103.204.72.0/22     ,4837,1
2022-01-08          ,3356,103.203.65.94       ,103.203.65.0/24     ,132770,1
2022-01-08          ,3356,103.21.244.8        ,103.21.244.0/24     ,13335,1
2022-01-08          ,3356,103.116.120.1       ,103.116.120.0/22    ,4847,1
2022-01-08          ,3356,103.118.160.85      ,103.118.160.0/24    ,137646,1
2022-01-08          ,3356,103.119.113.35      ,103.119.113.0/24    ,137641,1
2022-01-08          ,3356,1.6.230.5           ,1.6.230.0/24        ,4755,1
2022-01-08          ,3356,103.132.144.75      ,103.132.144.0/24    ,17917,1
2022-01-08          ,3356,103.155.130.53      ,103.155.130.0/24    ,9,1
2022-01-08          ,3356,103.168.162.1       ,103.168.162.0/24    ,9830,1
2022-01-08          ,3356,103.198.243.18      ,103.198.243.0/24    ,134600,1
2022-01-08          ,3356,103.122.61.1        ,103.122.61.0/24     ,133678,1
2022-01-10          ,3356,103.198.243.18      ,103.198.243.0/24    ,134600,1
2022-01-10          ,3356,103.75.156.90       ,103.75.156.0/23     ,2,1
2022-01-10          ,3356,103.54.19.34        ,103.54.19.0/24      ,134000,1
2022-01-10          ,3356,103.50.168.33       ,103.50.168.0/24     ,3,1
2022-01-10          ,3356,103.46.235.11       ,103.46.232.0/22     ,133298,1
2022-01-10          ,3356,103.228.142.109     ,103.228.142.0/24    ,135818,1
2022-01-10          ,3356,103.204.72.85       ,103.204.72.0/22     ,4837,1
2022-01-10          ,3356,103.203.65.94       ,103.203.65.0/24     ,132770,1
2022-01-10          ,3356,103.78.248.3        ,103.78.248.0/24     ,54501,1
2022-01-10          ,3356,103.158.94.7        ,103.158.94.0/24     ,141257,1
2022-01-10          ,3356,103.155.130.53      ,103.155.130.0/24    ,9,1
2022-01-10          ,3356,103.21.244.8        ,103.21.244.0/24     ,13335,1
2022-01-10          ,3356,1.6.230.5           ,1.6.230.0/24        ,4755,1
2022-01-10          ,3356,103.116.120.1       ,103.116.120.0/22    ,4847,1
2022-01-10          ,3356,103.168.162.1       ,103.168.162.0/24    ,9830,1
2022-01-10          ,3356,103.119.113.35      ,103.119.113.0/24    ,137641,1
2022-01-10          ,3356,103.122.61.1        ,103.122.61.0/24     ,133678,1
2022-01-10          ,3356,103.132.144.75      ,103.132.144.0/24    ,17917,1
2022-01-10          ,3356,103.118.160.85      ,103.118.160.0/24    ,137646,1
2022-01-12          ,3356,109.0.188.233       ,109.0.188.0/24      ,208719,1
2022-01-12          ,3356,103.46.235.11       ,103.46.232.0/22     ,133298,1
2022-01-12          ,3356,108.179.58.176      ,108.179.58.0/24     ,40513,1
2022-01-12          ,3356,108.179.24.106      ,108.179.24.0/24     ,27371,1
2022-01-12          ,3356,103.87.66.140       ,103.87.66.0/24      ,136086,1
2022-01-12          ,3356,103.78.248.3        ,103.78.248.0/24     ,54501,1
2022-01-12          ,3356,103.75.156.90       ,103.75.156.0/23     ,2,1
2022-01-12          ,3356,103.54.19.34        ,103.54.19.0/24      ,134000,1
